text,label,palavras tóxicas,palavras não tóxicas,palavras neutras,contagem tóxica,contagem não tóxica,contagem neutras,contagem de palavras,contagem de letras
O que vagabundo? Tu ta em rede social fela da puta.... falou tem resposta. Seu pau no cu,1,1,1,1,18,14,14,18,88
kkkkkkkk que otrio tomo um pau,1,1,1,1,6,5,5,6,30
q saco eu odeio bater neurose c bagulho nada a ver mas ai fico surtano soznha vai tomar no cu,1,1,1,1,20,18,18,20,93
abenoado seja geezer butler.,0,1,1,1,1,3,1,4,28
a recuperao de portugus..,0,1,1,1,2,3,2,4,25
"meta: 50 rts nessa foto e cinquenta comentrios com a tag. vamos? 
artista internacional favorito 
#nowunited #mpn",0,1,1,1,11,16,11,17,113
olhem esse levantamento da roberta pqp que obra de arteeee,0,1,1,1,7,8,6,10,58
"pior coisa de fazer aniversrio em agosto  essa porra desse frio, no da nem pra pegar uma rea de lazer porque t esse frio",0,1,1,1,24,24,24,24,120
deixa o pericles em paz filho da puta,1,1,1,1,8,7,7,8,37
entendeuuuu,0,0,0,0,0,0,0,1,11
"da pra acreditar nisso mano, ningum liga pra nada nessa porra.

fonte: brasil de fato",1,1,1,1,15,14,14,15,85
"Man, v o nego dando uns murro nele  muito satisfatrio... (no sou a favor da violncia, mas pqp tem casos que so necessrios)",1,1,1,1,21,20,20,23,122
"Eu acho que sua indignao no deveria ser com o  At porque  claro para todos como a milcia virtual do governo existe e muitas vezes os discursos, no mnimo, compartilham o mesmo modus operandi do governo. At quando ela vai agir para manipular a opinio popular?",0,1,1,1,41,45,41,46,257
"No fiz o gol , mais dei assistncia pra um gol que foi o nico , e tomamos a virada pra 3x1 , fico puto quando perdemos por Baguio besta , pqp",1,1,1,1,32,27,27,32,140
"se fumar, no tute kkkkkkkkk toma trouxa",0,1,1,1,7,7,7,7,39
volteeei pras puta,0,1,1,1,2,2,2,3,18
"O  por meio do ministro da Infraestrutura  recebeu hoje o secretrio de Comrcio dos Estados Unidos, Wilbur Ross. Durante a reunio, o ministro apresentou os principais projetos p/ investimentos privados em rodovias, ferrovias, portos e aeroportos.",0,1,1,1,23,35,23,36,245
"ningum lembra desse cara, s do lahm mesmo",0,1,1,1,6,8,6,8,41
"O mal do jovem  se achar muito e no ser porra nenhuma. Viver de stts e aparncia  to superficial... Cada um com seu cada um n, sem julgamentos...",0,1,1,1,24,27,24,28,144
pqp perdi o jogo de vlei hoje,0,1,1,1,7,7,7,7,29
"treinador do amrica admite: "" difcil contar com uribe para o jogo de amanh""",0,1,1,1,10,12,9,14,75
"quando o mar vier trar nas guas uma mulher 
ela vem como quem no quer nada alm de algum que lhe trate bem",0,1,1,1,21,23,21,23,105
joga no lixo,0,1,1,1,3,3,3,3,12
toma no cu t aqui nessa bosta queria mesmo  t jogando no so paulo,1,1,1,1,14,14,14,14,65
"i caralho, ta chovendo?",0,1,1,1,3,3,3,4,23
t afim de fazer um lomotif s de foto feia,1,1,1,1,10,10,10,10,41
"k-army no contm cmg pra nada! 

pqp, vo ser mimadas assim no infernooo oh caralhoooooooooo",1,1,1,1,13,11,11,15,90
auge do dia  eu ter que me manter ocupada porq se eu ficar sem o que fazer vou ficar mal pensando em como sou um lixo pra pessoa mais importante pra mim e no me toquei,0,1,1,1,35,36,35,36,167
queria saber disfarar a cara de cu,1,1,1,1,7,7,7,7,34
s falta a mara se apresentar,0,1,1,1,6,6,6,6,28
quanto de cu ce colocou ai?,1,1,1,1,6,5,5,6,27
continua sendo fofo so que tu  a an,0,1,1,1,8,8,8,8,35
libera a cocana ent meu caralho alado,1,1,1,1,6,5,5,7,37
eu amo ser solteira vsf,0,1,1,1,5,5,5,5,23
fao questo de ver de novo o vdeo original. ento vou dizer tudo que foi manipulado nesse vdeo de taekooka,0,1,1,1,17,19,17,20,104
virar vagabundo jamais,1,1,1,1,3,3,3,3,22
porque voc  foda pra caralho,0,1,1,1,5,5,5,5,28
"3 dia da 38 Jornada Carioca de Cirurgia Plsticas - Baker Gordon Symposiun, em breve contedo indito e todas as novidades do evento. sbcp_rj #CirurgiaPlastica #PlasticSurgery #DraNathaliaFagundes",0,1,1,1,12,26,12,27,193
t vendo a hora eu tacar fogo nessas burguesa do caralho,1,1,1,1,11,10,10,11,55
puta q pariu meu corao,0,1,1,1,5,5,5,5,22
pior que eu sonhei uns dias antes que tirava uma nota x no ingls e eu incrivelmente tirei ela kkkkk pqp,1,1,1,1,21,20,20,21,103
"jesus, deve ser uma sndrome sem cura ser petista!!
haja burrice, intolerncia, ignorncia entre outros adjetivos!!!",1,1,1,1,14,10,10,16,113
Usa a tcnica da garrafinha gelada do lado da cama kkkk porm vai ter efeitos colaterais. Vai ter que levantar pra ir no banheiro kkk,0,1,1,1,22,24,21,25,131
ai voc ta de boa na rua e passa uma pessoa carregando isso #mpn #luansantana #luanetes #luansantanashow,0,1,1,1,13,17,13,17,103
dudu ppp e suas boalidades.....babaca.,1,1,1,1,3,4,3,5,38
"alem de todo mundo que tem filho pequeno e v o ''servio maravilhoso'' que ele presta junto com seu irmo,eles so os principais responsveis pela disseminao da idiotice e da falta de contedo no YTBR,claro que o algoritmo  um lixo,mas esses dois meu deus do cu...",1,1,1,1,46,40,40,46,259
ou vai tomar no cu,1,1,1,1,5,5,5,5,18
tem de parar com esse povinho que insiste em entrevistar esse bandido condenado.,1,1,1,1,12,12,12,13,80
"Ela, Capit Marvel e Doutor Estranho acabariam com ele, porm tem que deixar o Capito Amrica e o Homem de Ferro seres os protagonistas, bvio n kkkkk",0,1,1,1,17,26,17,27,146
kjkkkkkkkkkkkkkkkkk t passando mal vei,0,1,1,1,4,4,4,5,38
"vamos ver na justia quem  verme e aberrao ok
j tenho os prints dos seus xingamentos",1,1,1,1,15,15,15,16,83
"o 9 ano foi o melhor sem duvidas!!!!!  fiquei amiga da pessoa q eu jamais acharia q me aproximaria, e puta merda a gnt vivia juntas",0,1,1,1,23,26,23,26,131
"e eu que passei uns 2 meses pegando a identidade pra olhar, quando entrei na faculdade 
o povo puto cmg pq no liberava a catraca logo",0,1,1,1,23,26,23,26,133
eu quero tambm! a esquerda est maluca.,0,1,1,1,6,6,6,7,38
"depois dessa eu s tenho a dizer...
carai neguim essa foi de fude kkk bjs",1,1,1,1,15,13,13,15,72
"Yony querendo um pouco mais de 3 milhes de reais EM LUVAS, pra renovar com fluminense kkkkkkkkkkkk t viajando esse cara, deve ta querendo ralar j",0,1,1,1,22,25,22,26,145
putinha aguenta 3,1,1,1,1,3,3,3,3,17
"puta que pariu, j tem material de farmacologia no moodle
eu to realmente surtando",0,1,1,1,12,14,12,14,81
alface: aberrao,1,1,1,1,1,1,1,2,15
kkkkkkkkk eu amo esse viado mano,0,1,1,1,6,6,6,6,32
malicia na cara ela joga na cara o jeito que balana esse lana  bom demais,1,1,1,1,14,13,13,15,73
Daora  que  to foda e mind blowing que nem funciona como spoiler caso algum reclame de to EITA PORRA CARAIA. E nessa fase da srie tudo  assim! Hahahahaha Eu amo.,0,1,1,1,24,29,24,30,161
"Se esses vermes da suprema corte brasileira no fizessem tanta merda e tirassem tanto vagabundo da cadeia e essa modomia desvairada tem que acabar,e no quer ser assunto eles tem que sair de l  urgente.",1,1,1,1,34,29,29,35,200
queria amigos que me chamassem para rols,0,1,1,1,5,7,5,7,40
j estou farta de ser amiga de toda gente  s levar facadas nas costas,0,1,1,1,12,14,12,14,68
"psicopata!!!!... bolsonaro est envolvido por pessoas perigosas, isso tem de mudar!!!!... bor espalhar!!?...",1,1,1,1,11,8,8,13,107
"mata ele, a no tem como pensar mais em voltar",0,1,1,1,10,10,10,10,45
puta q pariu clica do caralho,1,1,1,1,6,6,6,6,29
"meu pai acabou de me fuder, olha.. sinceramente, ta foda!",0,1,1,1,9,10,9,10,57
vsf vcs ae,1,1,1,1,3,3,3,3,10
"eu vi na tv que quem mto praticava()era mais saudvel 
eu fiquei  acho que eu sou doente ento",0,1,1,1,16,18,16,18,92
"pra quem no sabe quando um gato faz isso ele coloca as garras pra fora e di pra cacete, imagina num nenm que tem a pele super sensvel",0,1,1,1,28,28,28,28,133
"cara, eu to mega iludida mas porra o so paulo no sei o que acontece sabe....estamos com um puta time, tem capacidade porque estamos disputando apenas o brasileiros FOCA NESSA PORRA QUE O TTULO VEM",1,1,1,1,35,30,30,35,196
quando vc no cuida da vida dos outros vc  mais feliz...,0,1,1,1,10,10,10,11,55
como vc acha q o gaara // como ele realmente,1,1,1,1,10,10,10,10,44
"Ele no apoiava o Abel, apenas defendia a permanncia do Abel? Mas, que porra vc quis dizer? 
Voc no entende q defender a permanncia do Abel, seja qual for a justificativa,  defender o prprio Abel? Vc j se esqueceu do que o Abel fez no comando?  cego? Surdo?",1,1,1,1,47,38,38,48,256
tu e minha porra  vai se fuder sou de ninguem no,1,1,1,1,11,11,11,11,48
"so tenho 20 cntts no wpp, q fase pqp",1,1,1,1,9,8,8,9,36
"caraluo porra consefuimos.porra vai bras8l.porra.buceta 
caralho uhuuwusuauzhqjzhqudhajai
aaaaaaa",1,1,1,1,7,3,3,8,97
- ele tambm d bastante conselhos para os seguidores no twitter (as vezes desabafa) mas na maioria das vezes posta coisas que a gente precisa ouvir.,0,1,1,1,23,25,23,26,147
brota que hoje vai rola na quele pique,0,1,1,1,8,8,8,8,38
"Boa BOLSONARO!
Mostra pra essa CAMBADA quem  que manda! PODEM ficar de mimimi, nunca meu voto foi to recompensado!!
Quem no gostou, s chorar",1,1,1,1,23,18,17,24,140
"trabalhar que  bom, nada n?",0,1,1,1,5,5,5,5,27
"Machismo  um vrus do qual, por hereditariedade, o homem vira hospedeiro mental. Muitos manifestam sintomas, e existe quem desenvolva a doena total, a qual, para a mulher, pode ser letal.  preciso combater esse mal, o que requer rigor, mas sem necessariamente destruir o vetor!",0,1,1,1,28,42,28,44,276
o que te chama ateno fisicamente em um homem?  ser feio,0,1,1,1,11,11,11,11,55
pequizeiro (to)...,0,0,0,0,0,0,0,2,18
posso dormir na sua casa nikao?,0,1,1,1,5,5,5,6,31
essa porra de remdio no serve para porra nenhuma vai tomar no cu capitalismo,1,1,1,1,14,14,14,14,76
"vagabunda, te amo, te considero irmo puta",1,1,1,1,7,7,7,7,41
"aah sim, coitadinho do  e dia hackers n no? esto armando para as pobres vtimas!",1,1,1,1,13,10,10,15,79
"Merendeiras da rede municipal de ensino de Mafra receberam formao em Boas Prticas de Manipulao de Alimentos 

Acesse: (link:",0,1,1,1,9,18,9,19,124
kkkkkkkkk deus tarda mas n falha,0,1,1,1,4,6,4,6,32
vai a merda piranha grvida,1,1,1,1,5,5,5,5,26
"jm at mostra a bunda para jk, mas s na brotheragem mesmo",1,1,1,1,11,9,9,12,56
"No sei como as pessoas n gostam tanto de vlei e handball igual gostam de futebol, os nossos times tanto feminino qnt masculino so do caralho",0,1,1,1,24,26,24,26,140
"se eu fizer um videozinho desse de novo, vcs iriam querer participar?",0,1,1,1,10,11,10,12,69
t at vendo que esse tempinho vai me foder.,1,1,1,1,9,8,8,9,42
"ser me  maior responsa da porra.. educar e ensinar valores, proteger sem querer colocar num potinho, mais q postar foto c legenda ""mame ama"" ou stories de rol.. exige demais, saber q  responsa SUA oq vai ensinar e deixar de fazer tb.",1,1,1,1,42,33,33,42,233
la casa de papl vicia mesmo rs,0,1,1,1,6,7,6,7,30
"Denise Pires, Reitora da UFRJ, diz que a Universidade corre risco de parar caso no receba a verba do MEC para custeio de servios como segurana e limpeza. Enquanto isso, o Ministro da Educao est muito preocupado em chamar Paulo Freire de feio... Prioridades, n?",0,1,1,1,31,44,31,45,260
"claro que sim!

paulinha na fab",0,1,1,1,4,5,4,6,31
tomar no cu ningum quer,1,1,1,1,5,5,5,5,23
o bolso depois da facada,0,1,1,1,5,5,5,5,24
filho de monte gordo. #oxalestivessefcil,0,1,1,1,3,4,3,5,40
eu nessa primeira semana de aula sabendo que vou ter que dividir meu tempo entre estudar e votar pra caralho #MPN #NowUnited #Uniters,1,1,1,1,22,23,22,23,133
"eu olho pra essas coisas e penso:
deus criou o homem cis a partir de qual cu",1,1,1,1,17,16,16,17,76
minha blusa transparente ta na casa da minha irm desde o carnaval passado e eu achando que tinha perdido kkk,0,1,1,1,18,20,18,20,108
"mano, es s estpido se nem a merda de um ovo sabes partir wtf",1,1,1,1,13,13,13,14,60
pior nem eh isso. pior eh adiar esse jogo e no adiar a rodada quando for data fifa. isso que eh incoerncia.,0,1,1,1,19,21,19,22,107
uma sexta muito louca (porque t tudo dando errado),0,1,1,1,7,8,7,9,50
irmo que gosto lixo,1,1,1,1,4,4,4,4,19
"Bolsonaro usa as mdias sociais como meio de controlar a mdia.

Todas as grandes redes de notcias acreditam que controlam o ciclo de notcias, mas, na realidade, Bolsonaro as controla atravs das mdias sociais.",0,1,1,1,29,34,29,34,207
ai irmo zero vontade de ir pro colgio hj pqp,0,1,1,1,10,10,10,10,44
no dia que minha filha completa 2 ms,0,1,1,1,8,8,8,8,36
senhor me d pacincia pq se me der fora eu mato a minha irm,0,1,1,1,14,14,14,14,58
na moral vai tomar no cu vei,1,1,1,1,7,7,7,7,28
torava todas essas japinha,1,1,1,1,2,2,2,4,26
eu nunca corri tanto no baile q nem ontem kkkkkkkkkk pqp,0,1,1,1,11,11,11,11,56
falecimento da senhora d isaltina marques pinto de almeida -(84 anos) vir amanh domingo para a igreja de este...,0,1,1,1,13,17,13,19,112
o que falar da exonerao do Ricardo Galvo... foda. Quando a gente acha que no tem mais como piorar o Governo Federal vai l e faz a 29423849237492374973 merda do ano,1,1,1,1,31,29,29,31,163
"nossa ela  sexy d+, mano no deve ser humana isso no",0,1,1,1,9,11,9,11,51
t de sacanagem que mandaram ele se entregar n???? era pra ter matado fdp desse,1,1,1,1,15,13,13,15,78
a dodi kkk,0,1,1,1,2,3,2,3,10
meus sentimentos!!,0,1,1,1,1,1,1,2,18
meus dois estados de espritos,0,1,1,1,4,4,4,5,29
os cara to puto que o povo t jogando o jogo deles u quem tiver a vantagem que a leve,0,1,1,1,18,20,18,20,84
"grampola e elias, puta que pariu, no acertavam uma jogada.",0,1,1,1,6,8,6,10,58
"meu deus, q homem",0,1,1,1,4,4,4,4,17
"kkkkkkkkkkkk!
vc  um comediante mesmo!",0,1,1,1,3,4,3,5,38
o surto que foi nesse dia pq o baek tava gostoso pra caralho,1,1,1,1,13,12,12,13,60
se fizer bem feito eles entregam at a me.,0,1,1,1,7,9,7,9,41
"vou pechar a lenda do bane e vamo da um role diferenciado, hoje pode hoje  sexta feira aiaiai",0,1,1,1,14,17,14,18,93
"ai outra hora eu fao uma header bem legalzinha pq o hobi merece, no momento to com preguicinha",0,1,1,1,14,17,14,18,94
nosso porra tquio foi sofrido chupaaaa,1,1,1,1,5,5,5,6,38
kkkkkkk ridcula,1,1,1,1,2,2,2,2,15
"seu guarda eu sou vagabunda, eu sou deliquente e principalmente uma mina carente!",0,1,1,1,11,12,11,13,81
"kkkkkkkkkkkkk eu ate sei quem , retardada",1,1,1,1,7,7,7,7,41
"viva a vida enquanto vc esta vivo, pq dps que vc morrer, n vivera mais",0,1,1,1,13,15,13,15,70
eu quero distncia desse povo pau no c,1,1,1,1,8,8,8,8,37
porra eh isso!!!,1,1,1,1,2,3,2,3,16
"eu odeio, odeio quando minha me fica pedindo da minha ex, pqp essa mulher no esquece ela mds",0,1,1,1,18,18,18,18,92
falta pouco pra eu surtar,0,1,1,1,5,5,5,5,25
"Caralho. Tu  burro mesmo. Tinha 32 times na srie B de 92. Tu queria que subissem 4?? A regra foi mudada antes do campeonato comear, antes mesmo do Grmio saber em que posio ele iria ficar, tudo porque eram times demais e tinham que subir mais do que 4",0,1,1,1,44,48,43,49,250
se eu fizesse uma tatuagem assim meu av infartaria,0,1,1,1,8,8,8,9,50
"caralho que merda, no fui a semana inteira pra escola quando vou deixo o neosoro l kkkkkkkkkk s acontece comigo",1,1,1,1,20,19,19,20,111
"Apenas se beneficiando de um furto, uma ova.  conivente, se no for o patrocinador e mandante do furto, com o agravante de que  receptador confesso e, RECEPTADOR  CRIMINOSO. Recepo d cadeia.",0,1,1,1,18,29,17,31,189
queria #mpn #luansantana #luanetes #luansantanashow,0,1,1,1,2,5,2,5,51
amanh vai ter festa agostina aqui na rua da minha casa,0,1,1,1,10,11,10,11,54
apaixonada com esse lugar,0,1,1,1,4,4,4,4,25
frio pra cacete e eu tenho que sair de tarde ainda bem que vou de uber e  rpido,0,1,1,1,18,18,18,18,79
uma hora tomo vergonha na cara,0,1,1,1,6,6,6,6,30
a foia no serve nem pra limpar o c....,0,1,1,1,7,8,7,9,38
sheilla e brait voltando caralhoooooo. meu tri t vivo porraaaaaaaa vamo caralho vamoooo #voleinaglobo,0,1,1,1,13,13,13,14,101
vai trabalhar vagabundo!,1,1,1,1,2,2,2,3,24
"tem que ter estmago para comentar essa atrocidade ,essa dupla de lixo,vo pagar com a vida na cadeia,os presos faram o servio.",1,1,1,1,22,17,17,22,125
